hot_inlet_temperature_k,cold_inlet_mass_flow_kg_s,hot_outlet_temperature_k,cold_outlet_temperature_k,hx_1_heat_load_kw,hot_outlet_pressure_pa,cold_outlet_pressure_pa,hot_outlet_mass_flow_kg_s,cold_outlet_mass_flow_kg_s,hx_1_logarithmic_mean_temperature_difference_lmtd_k,hot_inlet_temperature_k_noisy,cold_inlet_mass_flow_kg_s_noisy,hot_outlet_temperature_k_noisy,cold_outlet_temperature_k_noisy,hx_1_heat_load_kw_noisy,hot_outlet_pressure_pa_noisy,cold_outlet_pressure_pa_noisy,hot_outlet_mass_flow_kg_s_noisy,cold_outlet_mass_flow_kg_s_noisy,hx_1_logarithmic_mean_temperature_difference_lmtd_k_noisy
556.988,0.5,364.362,351.3322966507177,121.601,500000,100000,1,0.5,121.601,547.4887664956156,0.5204421578263638,338.18087651787147,352.56586679143527,129.25614163420397,463916.9324864712,108396.58825472296,0.9554096089853804,0.523611878009401,114.50224373877674
455.978,0.5,371.369,337.2191866028708,92.1046,500000,100000,1,0.5,92.1046,421.77459180305743,0.4459736000662682,362.5241215217378,336.5837231341697,80.96782837838578,500751.1420387022,107264.16475824444,1.0965472672305854,0.472450335555132,90.18230904516436
514.564,0.590909,366.603,338.5637721689204,112.172,500000,100000,1,0.590909,112.172,532.9531190294728,0.6310840724857371,395.3035259631664,340.39981304052645,124.6417665500254,523594.0438419365,93273.351560614,0.9893989927086502,0.5442148785301545,111.38915700196212
413.554,0.590909,374.33,325.38656366392473,79.6243,500000,100000,1,0.590909,79.6243,397.1685785995391,0.5812241475663252,417.5190177237023,324.711905540276,76.68018406864215,470651.2639672569,95952.21466276492,0.9598341198757544,0.6276929750858501,81.98698088426737
472.14,0.681818,369.228,328.631412970482,101.122,500000,100000,1,0.681818,101.122,487.3551480322704,0.6318848309876437,374.8783608015879,323.0635466121805,79.01001032326504,458480.3025290386,98739.79419683883,1.069437766665625,0.7268460024218706,95.4478631736101
573.15,0.681818,362.384,338.73387180482194,129.914,500000,100000,1,0.681818,129.914,600.9617730313704,0.6999028746727021,303.7304223036084,346.7246769885313,156.73775441384643,476222.2096663704,97243.18202750516,0.9756623685987162,0.6092235516018167,130.63569690243233
530.726,0.772727,364.791,330.23855798172013,119.796,500000,100000,1,0.772727,119.796,542.0825446469887,0.7683380293449792,375.7216408408813,329.9985302000044,118.34469118658475,490729.83427568007,100243.70838056544,1.01561391766736,0.8291396989253726,115.65672231198108
429.716,0.772727,372.271,320.487749586698,88.3009,500000,100000,1,0.772727,88.3009,427.9842499065597,0.764599549995314,365.7340651352888,323.128923703504,95.8134231753197,481939.298688908,106476.5467744052,1.076646473666354,0.7834699279582272,80.02231604907819
387.291,0.863636,375.863,313.41466227210157,73.1554,500000,100000,1,0.863636,73.1554,346.9753738845653,0.8557516562973696,345.5275460602853,311.56884870382,65.88499399290768,512257.464028411,95600.72517687232,0.9933507824600716,0.8890785782355819,71.09233589380794
488.302,0.863636,367.482,323.1973810725815,108.471,500000,100000,1,0.863636,108.471,469.4179982223394,0.810771760534191,378.0585177031497,331.1218380813311,128.68754496982578,520051.0668014701,107746.4195787915,1.012504488466693,0.8400801977397143,102.69259332996772
546.887,0.954545,363.25,324.7981353712925,126.276,500000,100000,1,0.954545,126.276,534.3350772675104,0.9257674819160644,352.70065417119093,336.8696666076249,169.18234688200204,499670.245021537,100024.42824941626,0.972584858763666,0.9137879727728958,126.45371875964122
