subset_name,subset_size,target,target_label,target_unit,model,family,split_strategy,n_train_rows,n_val_rows,n_test_rows,MAE,RMSE,R2,MAPE,accuracy_proxy,best_params,notes,rank_by_rmse
low_data_100,100,cold_outlet_temperature_k,Cold outlet temperature,K,LinearRegressionGD,Traditional ML,Version 1 random holdout split with validation tuning,64,16,20,1.545851509457006,1.853864183953889,0.9673651798895522,0.5035189667272283,99.49648103327277,"{'lr': 0.03, 'epochs': 1200, 'l2': 0.0}",Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,1
low_data_100,100,cold_outlet_temperature_k,Cold outlet temperature,K,KNN,Traditional ML,Version 1 random holdout split with validation tuning,64,16,20,1.2365268472094044,1.8926708336274596,0.9659846006413325,0.40112250118462106,99.59887749881538,"{'k': 5, 'weighted': True}",Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,2
low_data_100,100,cold_outlet_temperature_k,Cold outlet temperature,K,GradientBoosting,Traditional ML,Version 1 random holdout split with validation tuning,64,16,20,2.1451529395033218,3.535027987509592,0.8813381518937455,0.6802372632442708,99.31976273675573,"{'n_estimators': 40, 'learning_rate': 0.06, 'max_depth': 2, 'min_samples_split': 25, 'min_samples_leaf': 10, 'n_thresholds': 16, 'random_state': 42}",Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,3
low_data_100,100,cold_outlet_temperature_k,Cold outlet temperature,K,RandomForest,Traditional ML,Version 1 random holdout split with validation tuning,64,16,20,2.347681475516049,3.680482199628044,0.8713722010360182,0.74781514663074,99.25218485336926,"{'n_estimators': 16, 'max_depth': 6, 'min_samples_split': 25, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'n_thresholds': 18, 'random_state': 42}",Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,4
low_data_100,100,cold_outlet_temperature_k,Cold outlet temperature,K,DecisionTree,Traditional ML,Version 1 random holdout split with validation tuning,64,16,20,2.622579039723573,4.004542635992592,0.8477240776478476,0.834085472225268,99.16591452777473,"{'max_depth': 4, 'min_samples_split': 25, 'min_samples_leaf': 10, 'max_features': None, 'n_thresholds': 14, 'random_state': 42}",Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,5
low_data_100,100,cold_outlet_temperature_k,Cold outlet temperature,K,MeanBaseline,Reference baseline,Version 1 random holdout split with validation tuning,64,16,20,7.3738654046633085,10.278708658986217,-0.003234614102724409,2.358512949113277,97.64148705088672,{},Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,6
low_data_100,100,cold_outlet_temperature_k,Cold outlet temperature,K,LinearSVR,Traditional ML,Version 1 random holdout split with validation tuning,64,16,20,264.61138700494723,264.7313046298452,-664.4815121018096,86.46067614144556,13.53932385855444,"{'lr': 0.008, 'epochs': 1300, 'epsilon': 0.5, 'C': 1.0, 'l2': 0.0001}",Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,7
low_data_100,100,hot_outlet_temperature_k,Hot outlet temperature,K,LinearRegressionGD,Traditional ML,Version 1 random holdout split with validation tuning,64,16,20,0.2461121231130477,0.321493474217376,0.995295108332035,0.06639534648280054,99.9336046535172,"{'lr': 0.03, 'epochs': 1200, 'l2': 0.0}",Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,1
low_data_100,100,hot_outlet_temperature_k,Hot outlet temperature,K,GradientBoosting,Traditional ML,Version 1 random holdout split with validation tuning,64,16,20,0.9801098004119438,1.260635096250972,0.9276590693050911,0.26391635342930064,99.7360836465707,"{'n_estimators': 40, 'learning_rate': 0.06, 'max_depth': 2, 'min_samples_split': 25, 'min_samples_leaf': 10, 'n_thresholds': 16, 'random_state': 42}",Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,2
low_data_100,100,hot_outlet_temperature_k,Hot outlet temperature,K,KNN,Traditional ML,Version 1 random holdout split with validation tuning,64,16,20,1.0792351088379974,1.3668130230266717,0.9149599473271313,0.2904332929571323,99.70956670704287,"{'k': 5, 'weighted': True}",Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,3
low_data_100,100,hot_outlet_temperature_k,Hot outlet temperature,K,DecisionTree,Traditional ML,Version 1 random holdout split with validation tuning,64,16,20,1.3292869047618978,1.5778135791175738,0.8866773600878604,0.3593088720077542,99.64069112799224,"{'max_depth': 6, 'min_samples_split': 25, 'min_samples_leaf': 10, 'max_features': None, 'n_thresholds': 18, 'random_state': 42}",Same from-scratch feature engineering and model search space as Version 1; only the training data has been reduced.,4
